datetime,id_time,n_flows,n_packets,traffic_volume,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
2023-10-09 00:00:00+00:00,0,683135,27451923,66.211,191042,6.75,33.04,414819,14.66,311.42,467124,16.51,335.28,0.78,0.77,0.45,0.46,12.11,145.79
2023-10-09 01:00:00+00:00,1,734180,23313062,50.3969,197479,6.75,32.26,431807,14.76,337.71,500739,17.11,367.2,0.78,0.76,0.45,0.45,12.42,142.14
2023-10-09 02:00:00+00:00,2,811477,29817697,62.6872,207761,6.56,30.23,483407,15.26,335.76,519383,16.4,351.51,0.79,0.78,0.46,0.45,13.65,141.0
2023-10-09 03:00:00+00:00,3,798960,47935368,108.8235,243225,6.07,25.69,427873,10.67,268.68,562214,14.02,295.36,0.82,0.81,0.47,0.44,16.41,133.78
2023-10-09 04:00:00+00:00,4,896561,71980994,163.6096,300772,5.37,20.04,454412,8.12,201.78,663418,11.85,222.38,0.84,0.83,0.49,0.44,21.6,129.53
2023-10-09 05:00:00+00:00,5,913687,75101147,167.7626,326091,4.91,17.68,459532,6.92,168.48,698046,10.51,184.02,0.84,0.83,0.5,0.45,24.89,126.94
2023-10-09 06:00:00+00:00,6,985029,83441386,182.3933,360355,4.73,17.19,491011,6.45,168.04,747569,9.81,181.68,0.85,0.84,0.5,0.45,27.55,124.18
2023-10-09 07:00:00+00:00,7,1088067,84476923,175.5169,399431,5.05,18.63,541825,6.85,171.1,825595,10.43,187.58,0.85,0.84,0.5,0.45,26.22,125.18
2023-10-09 08:00:00+00:00,8,1069060,90737068,204.2341,387955,4.89,18.04,529324,6.68,162.36,797841,10.06,177.71,0.85,0.84,0.5,0.45,27.91,124.08
2023-10-09 09:00:00+00:00,9,1110074,91980326,199.2312,399417,4.93,18.13,547466,6.76,164.01,823117,10.17,177.87,0.85,0.84,0.5,0.45,27.36,121.02
2023-10-09 10:00:00+00:00,10,1135350,93670798,205.737,405717,5.1,18.92,559566,7.04,176.87,841721,10.59,193.28,0.85,0.84,0.5,0.45,28.09,123.01
2023-10-09 11:00:00+00:00,11,1484447,87576053,190.4591,408073,5.33,19.58,575588,7.52,186.55,840030,10.97,205.16,0.82,0.83,0.46,0.43,20.55,143.06
2023-10-09 12:00:00+00:00,12,1744244,92221885,203.4751,376209,5.38,20.09,558300,7.99,195.74,772437,11.05,213.54,0.79,0.81,0.44,0.41,16.81,159.4
2023-10-09 13:00:00+00:00,13,1779601,94159170,202.6123,362767,5.69,23.47,596383,9.35,223.24,779452,12.23,246.52,0.78,0.81,0.42,0.4,15.39,163.01
2023-10-09 14:00:00+00:00,14,1650590,75223052,158.8362,332997,6.01,33.06,516272,9.32,231.66,731127,13.19,276.12,0.77,0.79,0.42,0.41,15.27,165.66
2023-10-09 15:00:00+00:00,15,1475909,70111923,145.3115,290250,5.93,34.52,460265,9.41,243.75,632843,12.94,286.71,0.76,0.78,0.41,0.4,14.84,169.25
2023-10-09 16:00:00+00:00,16,1426408,76117572,170.5689,257388,6.05,36.96,475383,11.18,267.82,583576,13.72,294.98,0.74,0.77,0.41,0.4,14.96,175.09
2023-10-09 17:00:00+00:00,17,1514778,75816776,167.3733,248598,5.97,36.49,608205,14.61,294.44,557355,13.39,271.09,0.74,0.77,0.41,0.4,14.95,174.23
2023-10-09 18:00:00+00:00,18,1547370,84387067,190.6248,264120,6.39,36.21,527509,12.77,276.48,583885,14.13,282.77,0.73,0.77,0.4,0.39,13.93,177.23
2023-10-09 19:00:00+00:00,19,1378974,86034067,213.8305,226065,5.93,25.24,464248,12.18,263.69,472736,12.4,241.62,0.73,0.76,0.39,0.4,12.31,181.12
2023-10-09 20:00:00+00:00,20,1410477,48610593,103.7445,206540,6.06,26.4,521147,15.28,332.81,438068,12.85,247.26,0.72,0.76,0.38,0.4,9.54,190.87
2023-10-09 21:00:00+00:00,21,1333906,62810822,148.2538,201102,6.46,27.26,505094,16.21,329.76,417934,13.42,244.81,0.72,0.76,0.37,0.4,6.95,202.48
2023-10-09 22:00:00+00:00,22,1259498,20994088,39.8998,212686,6.91,29.12,391142,12.7,244.91,440247,14.3,256.59,0.71,0.76,0.35,0.39,5.79,206.03
2023-10-09 23:00:00+00:00,23,1322430,29816161,61.908,202639,6.73,29.15,439853,14.6,289.12,434382,14.42,264.65,0.71,0.76,0.36,0.4,5.45,205.69
2023-10-10 00:00:00+00:00,24,1351786,30031883,64.4391,189256,6.44,27.76,537891,18.3,359.33,402655,13.7,242.25,0.7,0.75,0.36,0.4,5.36,207.03
2023-10-10 01:00:00+00:00,25,1250954,20066385,40.8031,188827,6.41,27.77,483716,16.41,334.78,406544,13.8,257.52,0.71,0.76,0.36,0.4,5.3,206.42
2023-10-10 02:00:00+00:00,26,1245542,31686978,68.2916,203289,6.25,26.44,477608,14.68,288.8,459198,14.11,255.69,0.72,0.76,0.37,0.4,6.19,199.09
2023-10-10 03:00:00+00:00,27,1386908,43343019,97.1575,237103,5.65,23.0,572680,13.64,266.92,525365,12.51,212.16,0.76,0.79,0.4,0.4,8.27,183.42
2023-10-10 04:00:00+00:00,28,1609021,55181012,118.1473,315428,5.07,18.74,616578,9.91,219.52,647011,10.4,176.25,0.79,0.82,0.43,0.41,13.4,164.53
2023-10-10 05:00:00+00:00,29,1687315,71312929,156.0714,353720,4.89,17.2,641555,8.87,206.1,694725,9.61,158.3,0.8,0.82,0.44,0.42,14.76,160.2
2023-10-10 06:00:00+00:00,30,1832016,80070058,169.7288,401278,4.95,16.91,668980,8.25,192.66,777002,9.58,161.7,0.81,0.83,0.45,0.42,16.79,157.89
2023-10-10 07:00:00+00:00,31,1846330,78614080,163.5713,412310,5.05,16.98,656983,8.05,189.82,758462,9.29,152.69,0.81,0.83,0.44,0.42,16.13,160.15
2023-10-10 08:00:00+00:00,32,1712319,81829448,179.6,397076,4.89,17.01,588439,7.24,180.75,706146,8.69,147.53,0.81,0.83,0.45,0.42,16.93,158.91
2023-10-10 09:00:00+00:00,33,1748180,77437336,163.0324,408491,4.91,17.4,611953,7.35,183.98,726857,8.73,150.34,0.81,0.82,0.45,0.42,16.57,156.96
